Rank, Book_Title, Author,Column1
1272,The Surgeon (Rizzoli & Isles  #1),Tess Gerritsen (Goodreads Author),4.09 avg rating — 160 438 ratings
1273,Freedom,Jonathan Franzen,3.78 avg rating — 167 770 ratings
1274,The Storyteller,Jodi Picoult (Goodreads Author),4.30 avg rating — 223 354 ratings
1275,Loveless,Alice Oseman (Goodreads Author),4.22 avg rating — 97 268 ratings
1276,People of the Book,Geraldine Brooks (Goodreads Author),4.03 avg rating — 144 857 ratings
1277,The Book of Lost Things (The Book of Lost Things  #1),John Connolly (Goodreads Author),3.96 avg rating — 79 390 ratings
1278,China Blues,Ki Longfellow (Goodreads Author),4.15 avg rating — 1 584 ratings
1279,The Eyes of the Dragon,Stephen King (Goodreads Author),3.94 avg rating — 127 663 ratings
1280,Just Kids,Patti Smith (Goodreads Author),4.21 avg rating — 273 885 ratings
1281,The Cuckoo's Calling (Cormoran Strike  #1),Robert Galbraith,3.88 avg rating — 575 948 ratings
1282,The Wee Free Men (Discworld  #30; Tiffany Aching  #1),Terry Pratchett,4.29 avg rating — 110 737 ratings
1283,Power And Prediction: The Disruptive Economics of Artificial Intelligence,Ajay Agrawal,4.26 avg rating — 6 567 ratings
1284,Three Comrades,Erich Maria Remarque,4.48 avg rating — 34 158 ratings
1285,Boy's Life,Robert McCammon,4.39 avg rating — 34 382 ratings
1286,Rendezvous with Rama (Rama  #1),Arthur C. Clarke,4.12 avg rating — 163 851 ratings
1287,Tiger's Voyage (The Tiger Saga  #3),Colleen Houck (Goodreads Author),4.27 avg rating — 36 715 ratings
1288,The Bone Collector (Lincoln Rhyme  #1),Jeffery Deaver (Goodreads Author),4.20 avg rating — 179 119 ratings
1289,Life As We Knew It (Last Survivors  #1),Susan Beth Pfeffer,3.88 avg rating — 127 939 ratings
1290,The Prime of Miss Jean Brodie,Muriel Spark,3.71 avg rating — 54 058 ratings
1291,The Three Witches and the Master,Max Nowaz (Goodreads Author),4.31 avg rating — 5 242 ratings
1292,Down and Out in Paris and London,George Orwell,4.09 avg rating — 86 850 ratings
1293,The Light Between Oceans,M.L. Stedman (Goodreads Author),4.04 avg rating — 455 752 ratings
1294,The Sun Is Also a Star,Nicola Yoon (Goodreads Author),3.98 avg rating — 324 299 ratings
1295,Flipped,Wendelin Van Draanen (Goodreads Author),3.98 avg rating — 116 425 ratings
1296,Dodging Satan: My Irish/Italian  Sometimes Awesome  But Mostly Creepy  Childhood,Kathleen Zamboni McCormick (Goodreads Author),4.29 avg rating — 4 140 ratings
1297,Centennial,James A. Michener,4.25 avg rating — 43 002 ratings
1298,The Book of Negroes,Lawrence Hill,4.46 avg rating — 86 339 ratings
1299,The V Girl: a Coming of Age Story,Mya Robarts,really liked it 4.00 avg rating — 16 111 ratings
1300,Surely You're Joking  Mr. Feynman!: Adventures of a Curious Character,Richard P. Feynman,4.27 avg rating — 199 641 ratings
1301,Survival in Auschwitz,Primo Levi,4.32 avg rating — 74 080 ratings
1302,Martin Eden,Jack London,4.47 avg rating — 42 014 ratings
1303,The Raven,Edgar Allan Poe,4.29 avg rating — 143 584 ratings
1304,Unparalleled,D.S.   Smith (Goodreads Author),4.14 avg rating — 4 950 ratings
1305,Pedro Páramo,Juan Rulfo,4.06 avg rating — 68 209 ratings
1306,A Good Man Is Hard to Find and Other Stories,Flannery O'Connor,4.18 avg rating — 45 362 ratings
1307,The Alchemy Fire Murder: a Mary Wandwalker Mystery,Susan  Rowland (Goodreads Author),4.31 avg rating — 5 710 ratings
1308,Bird by Bird,Anne Lamott (Goodreads Author),4.24 avg rating — 100 469 ratings
1309,The Dead Girls' Dance (The Morganville Vampires  #2),Rachel Caine,4.04 avg rating — 58 299 ratings
1310,Burned (Burned  #1),Ellen Hopkins (Goodreads Author),4.25 avg rating — 65 939 ratings
1311,Quantum Roots (Quantum Roots  #1),Kyle Keyes (Goodreads Author),4.28 avg rating — 3 336 ratings
1312,Lullaby,Chuck Palahniuk (Goodreads Author),3.74 avg rating — 98 530 ratings
1313,Pawn of Prophecy (The Belgariad  #1),David Eddings,4.16 avg rating — 105 385 ratings
1314,Children of Time (Children of Time  #1),Adrian Tchaikovsky (Goodreads Author),4.30 avg rating — 119 048 ratings
1315,Impulse (Impulse  #1),Ellen Hopkins (Goodreads Author),4.26 avg rating — 78 007 ratings
1316,The Painted Bird,Jerzy Kosi_ski,3.91 avg rating — 26 226 ratings
1317,A Voice in the Wind (Mark of the Lion  #1),Francine Rivers (Goodreads Author),4.57 avg rating — 93 777 ratings
1318,Oathbringer (The Stormlight Archive  #3),Brandon Sanderson (Goodreads Author),4.62 avg rating — 235 993 ratings
1319,Take Command: Find Your Inner Strength  Build Enduring Relationships  and Live the Life You Want (Dale Carnegie Books),Joe   Hart (Goodreads Author),4.26 avg rating — 7 420 ratings
1320,Pope Joan,Donna Woolfolk Cross (Goodreads Author),4.09 avg rating — 71 236 ratings
1321,Shrines of Gaiety,Kate Atkinson,3.86 avg rating — 31 950 ratings
1322,Crash,J.G. Ballard,3.59 avg rating — 25 436 ratings
1323,As You Like It,William Shakespeare,3.81 avg rating — 82 724 ratings
1324,Pachinko,Min Jin Lee,4.33 avg rating — 457 511 ratings
1325,The Pandarus File,Kyle Keyes (Goodreads Author),4.31 avg rating — 7 118 ratings
1326,The Traitor's Emblem,Juan Gómez-Jurado (Goodreads Author),3.86 avg rating — 3 703 ratings
1327,Killing Floor (Jack Reacher #1),Lee Child (Goodreads Author),4.08 avg rating — 314 458 ratings
1328,Among the Hidden (Shadow Children  #1),Margaret Peterson Haddix,3.99 avg rating — 124 333 ratings
1329,Salt to the Sea,Ruta Sepetys (Goodreads Author),4.36 avg rating — 206 760 ratings
1330,The Romantic,William  Boyd,4.17 avg rating — 5 639 ratings
1331,1984,George Orwell,4.19 avg rating — 4 519 230 ratings
1332,My Brilliant Friend (The Neapolitan Novels  #1),Elena Ferrante,4.03 avg rating — 325 880 ratings
1333,The Blue Sword (Damar  #1),Robin McKinley,4.21 avg rating — 60 698 ratings
1334,The Mayor of Casterbridge,Thomas Hardy,3.85 avg rating — 61 991 ratings
1335,Real (Real  #1),Katy Evans (Goodreads Author),4.13 avg rating — 112 179 ratings
1336,Pushing the Limits (Pushing the Limits  #1),Katie McGarry (Goodreads Author),4.05 avg rating — 121 798 ratings
1337,The Casual Vacancy,J.K. Rowling,3.30 avg rating — 327 999 ratings
1338,The Emperor (The Emperor  the Son and the Thief  #1),Robert         Reid (Goodreads Author),4.30 avg rating — 5 404 ratings
1339,Persepolis: The Story of a Childhood (Persepolis  #1),Marjane Satrapi,4.26 avg rating — 206 368 ratings
1340,A Court of Thorns and Roses (A Court of Thorns and Roses  #1),Sarah J. Maas (Goodreads Author),4.20 avg rating — 2 233 756 ratings
1341,The Awakening: Fate in Motion,Suzanne Boisvert (Goodreads Author),4.23 avg rating — 1 128 ratings
1342,Heartstopper: Volume Four (Heartstopper  #4),Alice Oseman (Goodreads Author),4.62 avg rating — 367 085 ratings
1343,U.S. Constitution (Saddlewire) (Books of American Wisdom),Founding Fathers,4.51 avg rating — 26 908 ratings
1344,Gabriel's Rapture (Gabriel's Inferno  #2),Sylvain Reynard (Goodreads Author),4.20 avg rating — 114 348 ratings
1345,Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs  #1),Judi Barrett,4.18 avg rating — 139 595 ratings
1346,Daughter of Fortune,Isabel Allende (Goodreads Author),3.93 avg rating — 130 923 ratings
1347,The Ask and the Answer (Chaos Walking  #2),Patrick Ness,4.18 avg rating — 95 758 ratings
1348,Long Walk to Freedom,Nelson Mandela,4.34 avg rating — 86 232 ratings
1349,The Sign of Four (Sherlock Holmes  #2),Arthur Conan Doyle,3.90 avg rating — 154 737 ratings
1350,Need (Need  #1),Carrie Jones (Goodreads Author),3.72 avg rating — 63 324 ratings
1351,Wolf Hall (Thomas Cromwell  #1),Hilary Mantel,3.90 avg rating — 208 612 ratings
1352,Off the Grid (Joe Pickett  #16),C.J. Box,4.29 avg rating — 19 130 ratings
1353,Dear Barack: The Extraordinary Partnership of Barack Obama and Angela Merkel,Claudia   Clark (Goodreads Author),4.28 avg rating — 6 310 ratings
1354,Wintergirls,Laurie Halse Anderson (Goodreads Author),3.96 avg rating — 120 096 ratings
1355,Even Cowgirls Get the Blues,Tom Robbins,3.78 avg rating — 54 485 ratings
1356,Hello Beautiful,Ann Napolitano (Goodreads Author),4.20 avg rating — 244 987 ratings
1357,Kissed by an Angel/The Power of Love/Soulmates (Kissed by an Angel  #1-3),Elizabeth Chandler,4.08 avg rating — 26 735 ratings
1358,Midwives,Chris Bohjalian (Goodreads Author),3.99 avg rating — 159 275 ratings
1359,The Manufactured Identity (Manufactured Identity  #1),Heath Sommer (Goodreads Author),3.54 avg rating — 436 ratings
1360,The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,4.28 avg rating — 72 874 ratings
1361,The Sum of All Fears (Jack Ryan  #6),Tom Clancy,4.06 avg rating — 62 236 ratings
1362,The Gathering Storm (The Wheel of Time  #12),Robert Jordan,4.42 avg rating — 158 739 ratings
1363,Wallbanger (Cocktail  #1),Alice Clayton (Goodreads Author),3.99 avg rating — 206 276 ratings
1364,The Venice Sketchbook,Rhys Bowen (Goodreads Author),4.24 avg rating — 75 009 ratings
1365,A Storm of Swords 2: Blood and Gold (A Song of Ice and Fire  #3  Part 2 of 2),George R.R. Martin,4.54 avg rating — 93 475 ratings
1366,American Pastoral,Philip Roth,3.94 avg rating — 79 281 ratings
1367,The Third Policeman,Flann O'Brien,3.98 avg rating — 20 167 ratings
1368,Crossed (Matched  #2),Ally Condie (Goodreads Author),3.52 avg rating — 244 579 ratings
1369,The Scorpio Races,Maggie Stiefvater (Goodreads Author),4.09 avg rating — 109 013 ratings
1370,The Tattooist of Auschwitz (The Tattooist of Auschwitz  #1),Heather   Morris (Goodreads Author),4.30 avg rating — 906 926 ratings
1371,All Things Bright and Beautiful (All Creatures Great and Small  #3-4),James Herriot,4.34 avg rating — 78 811 ratings
1372,Diplomats & Admirals: From Failed Negotiations and Tragic Misjudgments to Powerful Leaders and Heroic Deeds  the Untold Story of the Pacific War from Pearl Harbor to Midway,Dale A. Jenkins (Goodreads Author),4.29 avg rating — 5 961 ratings
1373,Pompeii: A Novel,Robert   Harris (Goodreads Author),3.86 avg rating — 45 405 ratings
1374,Silent Spring,Rachel Carson,4.03 avg rating — 47 325 ratings
1375,The Rosie Project (Don Tillman  #1),Graeme Simsion (Goodreads Author),4.02 avg rating — 551 886 ratings
1376,Toe to Toe (Nonie Broussard Ghost Tracker Series),Deborah Leblanc (Goodreads Author),4.22 avg rating — 5 812 ratings
1377,Shadow of Night (All Souls  #2),Deborah Harkness (Goodreads Author),4.08 avg rating — 238 618 ratings
1378,Only the Good Spy Young (Gallagher Girls  #4),Ally Carter (Goodreads Author),4.29 avg rating — 66 599 ratings
1379,Win (Windsor Horne Lockwood III  #1),Harlan Coben (Goodreads Author),4.09 avg rating — 65 818 ratings
1380,This is How You Lose the Time War,Amal El-Mohtar (Goodreads Author),3.93 avg rating — 190 537 ratings
1381,The Hawthorne Legacy (The Inheritance Games  #2),Jennifer Lynn Barnes (Goodreads Author),4.22 avg rating — 381 733 ratings
1382,The Brothers K,David James Duncan,4.39 avg rating — 15 760 ratings
1383,Oil and Marble,Stephanie Storey (Goodreads Author),4.07 avg rating — 9 739 ratings
1384,Marry Christmas,Linda Phillips,4.35 avg rating — 1 180 ratings
1385,Women,Charles Bukowski,3.82 avg rating — 77 626 ratings
1386,Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.33 avg rating — 156 533 ratings
1387,Americanah,Chimamanda Ngozi Adichie,4.32 avg rating — 367 059 ratings
1388,The Heir (The Selection  #4),Kiera Cass (Goodreads Author),3.64 avg rating — 349 220 ratings
1389,The Ballad of Never After (Once Upon a Broken Heart  #2),Stephanie Garber (Goodreads Author),4.54 avg rating — 170 461 ratings
1390,Strange the Dreamer (Strange the Dreamer  #1),Laini Taylor (Goodreads Author),4.29 avg rating — 119 438 ratings
1391,The Iron Knight (The Iron Fey  #4),Julie Kagawa (Goodreads Author),4.18 avg rating — 85 077 ratings
1392,The Opportunist (Love Me with Lies  #1),Tarryn Fisher (Goodreads Author),4.19 avg rating — 52 729 ratings
1393,Seasonable Doubt,Robin      James (Goodreads Author),4.39 avg rating — 1 368 ratings
1394,Narcissus and Goldmund,Hermann Hesse,4.22 avg rating — 61 741 ratings
1395,Les Liaisons dangereuses,Pierre Choderlos de Laclos,4.06 avg rating — 52 792 ratings
1396,Entwined with You (Crossfire  #3),Sylvia Day (Goodreads Author),4.18 avg rating — 207 785 ratings
1397,The Starless Sea,Erin Morgenstern (Goodreads Author),3.86 avg rating — 198 940 ratings
1398,Renegades (Renegades  #1),Marissa Meyer (Goodreads Author),4.13 avg rating — 138 348 ratings
1399,Royal Assassin (Farseer Trilogy  #2),Robin Hobb (Goodreads Author),4.26 avg rating — 194 455 ratings
1400,The Namatjira Connection (Genevieve Lenard #16),Estelle Ryan (Goodreads Author),4.32 avg rating — 710 ratings
1401,The Crystal Cave (Arthurian Saga  #1),Mary  Stewart,4.13 avg rating — 45 959 ratings
1402,Born a Crime: Stories From a South African Childhood,Trevor Noah,4.49 avg rating — 679 877 ratings
1403,Everything I Never Told You,Celeste Ng (Goodreads Author),3.85 avg rating — 541 144 ratings
1404,The Lady of the Tower (The Lydiard Chronicles  #1),Elizabeth St. John (Goodreads Author),4.18 avg rating — 1 690 ratings
1405,The Raven and the Nine (The Viking Blood and Blade Saga #6),Peter  Gibbons (Goodreads Author),4.44 avg rating — 1 006 ratings
1406,Vampire Academy Collection (Vampire Academy  #1-3),Richelle Mead (Goodreads Author),4.61 avg rating — 34 057 ratings
1407,Lost Identity (Remmich/Miller  #1),Karl Braungart (Goodreads Author),4.29 avg rating — 6 435 ratings
1408,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear (Goodreads Author),4.36 avg rating — 820 441 ratings
1409,The Alaska Job (Case Lee  #12),Vince Milam (Goodreads Author),4.47 avg rating — 1 479 ratings
1410,The Marriage Portrait,Maggie O'Farrell (Goodreads Author),4.02 avg rating — 128 565 ratings
1411,The Survival Rule (A Rain City Legal Thriller  Book 3),Stephen Penner (Goodreads Author),4.19 avg rating — 1 206 ratings
1412,The Whalebone Theatre,Joanna   Quinn (Goodreads Author),4.07 avg rating — 21 626 ratings
1413,The Power and the Glory,Graham Greene,3.98 avg rating — 39 152 ratings
1414,Ahab's Wife  or The Star-Gazer,Sena Jeter Naslund,4.03 avg rating — 44 563 ratings
1415,Doomsday Book (Oxford Time Travel  #1),Connie Willis,4.03 avg rating — 59 470 ratings
1416,Piranesi,Susanna Clarke,4.23 avg rating — 265 846 ratings
1417,A Fire Upon the Deep (Zones of Thought  #1),Vernor Vinge,4.14 avg rating — 60 384 ratings
1418,Beartown (Beartown  #1),Fredrik Backman (Goodreads Author),4.29 avg rating — 421 915 ratings
1419,Honor and Polygamy,Omar Farhad (Goodreads Author),4.25 avg rating — 160 ratings
1420,Hunger,Knut Hamsun,4.05 avg rating — 55 014 ratings
1421,The Invisible Man,H.G. Wells,3.64 avg rating — 191 548 ratings
1422,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,Flora Rheta Schreiber,3.98 avg rating — 89 487 ratings
1423,Dark Matter,Blake Crouch (Goodreads Author),4.13 avg rating — 478 025 ratings
1424,America's Daughter (Dancing Soul Trilogy  #2),Maria Nhambu (Goodreads Author),4.31 avg rating — 7 468 ratings
1425,Hunt Them Down (Pierce Hunt  #1),Simon Gervais (Goodreads Author),4.26 avg rating — 10 134 ratings
1426,Complicate Me (The Good Ol' Boys  #1),M.  Robinson,4.01 avg rating — 10 547 ratings
1427,The Night Tiger,Yangsze Choo (Goodreads Author),3.86 avg rating — 58 957 ratings
1428,The Silence of the Girls (Women of Troy  #1),Pat Barker,3.90 avg rating — 88 786 ratings
1429,Legendary (Caraval  #2),Stephanie Garber (Goodreads Author),4.18 avg rating — 231 144 ratings
1430,Dark State (Jason Trapp #1),Jack     Slater (Goodreads Author),4.43 avg rating — 10 824 ratings
1431,The Southern Lawyer (Joe Hennessy Legal Thriller #1),Peter O'Mahoney (Goodreads Author),4.23 avg rating — 15 703 ratings
1432,The Heart Is a Lonely Hunter,Carson McCullers,3.99 avg rating — 109 249 ratings
1433,Eragon  Eldest & Brisingr (Inheritance  #1-3),Christopher Paolini (Goodreads Author),4.26 avg rating — 35 770 ratings
1434,Deep Sleep (Devin Gray  #1),Steven Konkoly (Goodreads Author),4.07 avg rating — 11 766 ratings
1435,Kiss the Girls (Alex Cross  #2),James Patterson (Goodreads Author),3.99 avg rating — 336 633 ratings
1436,Lady  in Waiting (The Tudor Court #3),Karen Heenan (Goodreads Author),4.30 avg rating — 505 ratings
1437,North and South (North and South  #1),John Jakes,4.20 avg rating — 61 113 ratings
1438,Dragonflight (Dragonriders of Pern  #1),Anne McCaffrey,4.09 avg rating — 136 533 ratings
1439,Warm Bodies (Warm Bodies  #1),Isaac Marion (Goodreads Author),3.91 avg rating — 105 627 ratings
1440,Never,Ken Follett (Goodreads Author),4.09 avg rating — 54 337 ratings
1441,Firefly Lane (Firefly Lane  #1),Kristin Hannah (Goodreads Author),4.17 avg rating — 383 058 ratings
1442,Yertle the Turtle and Other Stories,Dr. Seuss,4.15 avg rating — 35 087 ratings
1443,The Moonstone,Wilkie Collins,3.91 avg rating — 92 589 ratings
1444,Adhaata Asao's Liege,Afroz  Alam (Goodreads Author),4.57 avg rating — 174 ratings
1445,Four: A Divergent Story Collection (Divergent  #0.1-0.4),Veronica Roth (Goodreads Author),3.96 avg rating — 224 061 ratings
1446,Move to Millions: The Proven Framework to Become a Million Dollar CEO with Grace & Ease Instead of Hustle & Grind,Darnyelle Jervey Harmon (Goodreads Author),4.29 avg rating — 6 573 ratings
1447,A Distant Mirror: The Calamitous 14th Century,Barbara W. Tuchman,4.05 avg rating — 41 017 ratings
1448,The Fifth Season (The Broken Earth  #1),N.K. Jemisin (Goodreads Author),4.31 avg rating — 261 032 ratings
1449,A Suitable Boy (A Bridge of Leaves  #1),Vikram Seth,4.12 avg rating — 47 881 ratings
1450,The Hating Game,Sally  Thorne (Goodreads Author),3.90 avg rating — 697 560 ratings
1451,Fire Prayers: Building Arsenals That Destroy Satanic Kingdoms,John Ramirez (Goodreads Author),4.28 avg rating — 5 340 ratings
1452,Angels' Blood (Guild Hunter  #1),Nalini Singh (Goodreads Author),4.08 avg rating — 91 496 ratings
1453,Lola and the Boy Next Door (Anna and the French Kiss  #2),Stephanie Perkins (Goodreads Author),3.91 avg rating — 163 857 ratings
1454,Steve Jobs,Walter Isaacson (Goodreads Author),4.16 avg rating — 1 237 734 ratings
1455,The Eight (The Eight  #1),Katherine Neville,3.92 avg rating — 42 696 ratings
1456,Richard III,William Shakespeare,3.91 avg rating — 53 270 ratings
1457,Search and Destroy (A Tom Rollins Thriller Book 10),Paul Heatley (Goodreads Author),4.39 avg rating — 1 490 ratings
1458,The Beach,Alex Garland,3.97 avg rating — 86 743 ratings
1459,Radio Silence,Alice Oseman (Goodreads Author),4.20 avg rating — 106 904 ratings
1460,Magic Bleeds (Kate Daniels  #4),Ilona Andrews (Goodreads Author),4.44 avg rating — 83 335 ratings
1461,The Man Without A Face (Peter Black #2),David Archer,4.39 avg rating — 3 879 ratings
1462,Inside Out & Back Again,Thanhhà L_i (Goodreads Author),4.12 avg rating — 60 980 ratings
1463,Bully (Fall Away  #1),Penelope Douglas (Goodreads Author),3.88 avg rating — 191 887 ratings
1464,Fang (Maximum Ride  #6),James Patterson (Goodreads Author),4.05 avg rating — 61 225 ratings
1465,Less Than Zero,Bret Easton Ellis,3.60 avg rating — 85 143 ratings
1466,Blood Bound (Mercy Thompson  #2),Patricia Briggs,4.31 avg rating — 127 580 ratings
1467,The Young Elites (The Young Elites  #1),Marie Lu (Goodreads Author),3.87 avg rating — 135 136 ratings
1468,Grendel,John Gardner,3.69 avg rating — 38 682 ratings
1469,Mrs. Frisby and the Rats of NIMH (Rats of NIMH  #1),Robert C. O'Brien,4.16 avg rating — 177 755 ratings
1470,Die for Me (Revenants  #1),Amy Plum (Goodreads Author),3.98 avg rating — 55 194 ratings
1471,Masquerade (Blue Bloods  #2),Melissa de la Cruz (Goodreads Author),3.91 avg rating — 90 929 ratings
1472,Open Season (Breed Thriller  #2),Cameron Curtis,4.43 avg rating — 3 226 ratings
1473,A Wind in the Door (Time Quintet  #2),Madeleine L'Engle,3.99 avg rating — 127 141 ratings
1474,The Language of Flowers,Vanessa Diffenbaugh (Goodreads Author),4.09 avg rating — 220 194 ratings
1475,The Nowhere Man (Orphan X  #2),Gregg Andrew Hurwitz (Goodreads Author),4.14 avg rating — 26 106 ratings
1476,The Oedipus Cycle: Oedipus Rex  Oedipus at Colonus  Antigone,Sophocles,3.99 avg rating — 66 800 ratings
1477,No Plan B (Jack Reacher  #27),Lee Child (Goodreads Author),3.99 avg rating — 50 410 ratings
1478,The Magicians' Guild (Black Magician Trilogy  #1),Trudi Canavan,3.95 avg rating — 83 821 ratings
1479,Bone Crossed (Mercy Thompson  #4),Patricia Briggs,4.34 avg rating — 109 396 ratings
1480,Quidditch Through the Ages,J.K. Rowling,3.81 avg rating — 177 721 ratings
1481,Tomorrow  When the War Began (Tomorrow  #1),John Marsden,4.04 avg rating — 55 927 ratings
1482,The Wrath and the Dawn (The Wrath and the Dawn  #1),Renée Ahdieh (Goodreads Author),4.06 avg rating — 174 873 ratings
1483,Christine,Stephen King (Goodreads Author),3.84 avg rating — 239 689 ratings
1484,Gathering Blue (The Giver  #2),Lois Lowry (Goodreads Author),3.82 avg rating — 190 078 ratings
1485,Medea,Euripides,3.93 avg rating — 75 178 ratings
1486,Night World  No. 3 (Night World  #7-9),L.J. Smith (Goodreads Author),4.20 avg rating — 65 423 ratings
1487,Uprooted,Naomi Novik (Goodreads Author),4.04 avg rating — 234 493 ratings
1488,"My Story: ""A Child Called It""  ""The Lost Boy""  ""A Man Named Dave""",Dave Pelzer (Goodreads Author),4.21 avg rating — 13 619 ratings
1489,For the Love of Armin,Michael G. Kramer (Goodreads Author),4.30 avg rating — 1 138 ratings
1490,Sons and Lovers,D.H. Lawrence,3.64 avg rating — 52 814 ratings
1491,The Boy Who Sneaks in My Bedroom Window (The Boy Who Sneaks in My Bedroom Window  #1),Kirsty Moseley (Goodreads Author),3.85 avg rating — 76 051 ratings
1492,Animal  Vegetable  Miracle: A Year of Food Life,Barbara Kingsolver,4.05 avg rating — 110 063 ratings
1493,The Last Guardian (Clayton White #3),Simon Gervais (Goodreads Author),4.34 avg rating — 1 500 ratings
1494,Lover Unleashed (Black Dagger Brotherhood  #9),J.R. Ward (Goodreads Author),4.27 avg rating — 93 195 ratings
1495,Savage Grounds (Dalton Savage #1),L.T. Ryan (Goodreads Author),4.28 avg rating — 5 322 ratings
1496,Second Son (Second Son Chronicles #1),Pamela   Taylor (Goodreads Author),4.27 avg rating — 1 435 ratings
1497,National Security (Jericho Quinn  #1),Marc Cameron (Goodreads Author),4.12 avg rating — 8 138 ratings
1498,Girl in Pieces,Kathleen Glasgow (Goodreads Author),really liked it 4.00 avg rating — 176 297 ratings
1499,Out of Africa,Isak Dinesen,3.92 avg rating — 43 623 ratings
1500,The Sunne in Splendour,Sharon Kay Penman,4.40 avg rating — 21 853 ratings
1501,Matterhorn,Karl Marlantes,4.25 avg rating — 43 396 ratings
1502,Burning Evidence: A Legal Thriller filled with Gripping Courtroom Drama (Small Town Lawyer Book 4),Peter Kirkland,4.28 avg rating — 812 ratings
1503,Archibald Finch and the Lost Witches (Archibald Finch #1),Michel Guyon (Goodreads Author),4.09 avg rating — 522 ratings
1504,Red Storm Rising,Tom Clancy,4.20 avg rating — 79 570 ratings
1505,The School for Good and Evil (The School for Good and Evil  #1),Soman Chainani (Goodreads Author),3.99 avg rating — 116 472 ratings
1506,The Source,James A. Michener,4.29 avg rating — 43 336 ratings
1507,The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,3.97 avg rating — 272 542 ratings
1508,Master of the Game,Sidney Sheldon,4.14 avg rating — 57 077 ratings
1509,Crossing the Seas: A Diary of My Thoughts,Yuehai Xiao,3.56 avg rating — 2 129 ratings
1510,A Court of Wings and Ruin (A Court of Thorns and Roses  #3),Sarah J. Maas (Goodreads Author),4.47 avg rating — 1 353 143 ratings
1511,The Alexandria Quartet  (The Alexandria Quartet  #1-4),Lawrence Durrell,4.17 avg rating — 11 873 ratings
1512,The Complete Stories,Flannery O'Connor,4.39 avg rating — 39 010 ratings
1513,The Reptile Room (A Series of Unfortunate Events  #2),Lemony Snicket (Goodreads Author),4.01 avg rating — 223 494 ratings
1514,The Demon King (Seven Realms  #1),Cinda Williams Chima (Goodreads Author),4.15 avg rating — 76 277 ratings
1515,Succubus Blues (Georgina Kincaid  #1),Richelle Mead (Goodreads Author),3.94 avg rating — 56 889 ratings
1516,The Final Warning (Maximum Ride  #4),James Patterson (Goodreads Author),3.85 avg rating — 70 946 ratings
1517,Dislocated (Mad Mick #10),Franklin Horton,4.55 avg rating — 814 ratings
1518,Ana Rocha: Shadows of Justice,Ammar Habib (Goodreads Author),4.23 avg rating — 5 501 ratings
1519,The Past (VanWest  #1),Kenneth   Thomas,3.88 avg rating — 761 ratings
1520,Oath of Loyalty (Mitch Rapp  #21),Kyle Mills (Goodreads Author),4.48 avg rating — 19 281 ratings
1521,Thinking  Fast and Slow,Daniel Kahneman,4.18 avg rating — 489 579 ratings
1522,Forty-Ninth,Boris Pronsky (Goodreads Author),4.39 avg rating — 107 ratings
1523,The Last Run (Peter Black #6),David Archer,4.33 avg rating — 1 320 ratings
1524,The Demigod Files,Rick Riordan (Goodreads Author),4.03 avg rating — 108 567 ratings
1525,The Kill Order (The Maze Runner  #0.4),James Dashner (Goodreads Author),3.71 avg rating — 222 421 ratings
1526,The High Lord (Black Magician Trilogy  #3),Trudi Canavan,4.14 avg rating — 59 012 ratings
1527,Silk Road (Epic Adventure  #1),Colin Falconer (Goodreads Author),4.25 avg rating — 6 872 ratings
1528,Swift Judgment (Nate Shepherd  #7),Michael  Stagg (Goodreads Author),4.39 avg rating — 1 197 ratings
1529,Night Owl (Trasker #1),Andrew Mayne (Goodreads Author),4.18 avg rating — 8 314 ratings
1530,Chasing the Dragon: BY NEW BLOOD DAGGER AND SCOTTISH CRIME DEBUT SHORTLISTED AUTHOR (Betancourt Mystery Series Book 2),Mark Wightman,4.19 avg rating — 402 ratings
1531,Child 44 (Leo Demidov  #1),Tom Rob Smith,4.10 avg rating — 85 180 ratings
1532,A Day of Reckoning,Matthew Harffy (Goodreads Author),4.32 avg rating — 593 ratings
1533,Smaragdgrün (Edelstein-Trilogie  #3),Kerstin Gier,4.20 avg rating — 99 110 ratings
1534,Lirael (Abhorsen  #2),Garth Nix (Goodreads Author),4.29 avg rating — 118 225 ratings
1535,My Name Is Red,Orhan Pamuk,3.87 avg rating — 56 021 ratings
1536,Quicker (Ell Donsaii  #1),Laurence E. Dahners (Goodreads Author),4.29 avg rating — 3 155 ratings
1537,Insomnia,Stephen King (Goodreads Author),3.83 avg rating — 155 049 ratings
1538,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid (Goodreads Author),4.43 avg rating — 2 849 747 ratings
1539,Portnoy’s Complaint,Philip Roth,3.71 avg rating — 67 895 ratings
1540,Captive in the Dark (The Dark Duet  #1),C.J. Roberts (Goodreads Author),3.94 avg rating — 72 169 ratings
1541,Good to Great: Why Some Companies Make the Leap... and Others Don't,James C. Collins,4.14 avg rating — 211 641 ratings
1542,The DUFF: Designated Ugly Fat Friend (Hamilton High  #1),Kody Keplinger (Goodreads Author),3.80 avg rating — 193 151 ratings
