Rank, Book_Title, Author,Column1
97,Don Quixote,Miguel de Cervantes Saavedra,3.90 avg rating — 267 814 ratings
98,The Poisonwood Bible,Barbara Kingsolver,4.09 avg rating — 738 300 ratings
99,The Old Man and the Sea,Ernest Hemingway,3.80 avg rating — 1 130 945 ratings
100,Harry Potter and the Goblet of Fire (Harry Potter  #4),J.K. Rowling,4.56 avg rating — 3 635 464 ratings
101,Atlas Shrugged,Ayn Rand,3.69 avg rating — 388 439 ratings
102,The Notebook (The Notebook  #1),Nicholas Sparks (Goodreads Author),4.15 avg rating — 1 672 237 ratings
103,Winnie-the-Pooh (Winnie-the-Pooh  #1),A.A. Milne,4.36 avg rating — 324 979 ratings
104,Fahrenheit 451,Ray Bradbury,3.97 avg rating — 2 378 282 ratings
105,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,4.58 avg rating — 3 229 573 ratings
106,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.39 avg rating — 2 783 226 ratings
107,Moby-Dick or  The Whale,Herman Melville,3.54 avg rating — 554 578 ratings
108,A Prayer for Owen Meany,John Irving (Goodreads Author),4.24 avg rating — 318 995 ratings
109,Clockwork Angel (The Infernal Devices  #1),Cassandra Clare (Goodreads Author),4.31 avg rating — 824 526 ratings
110,The Stranger,Albert Camus,4.02 avg rating — 1 066 846 ratings
111,The Secret Life of Bees,Sue Monk Kidd (Goodreads Author),4.09 avg rating — 1 283 334 ratings
112,The Red Tent,Anita Diamant (Goodreads Author),4.20 avg rating — 594 611 ratings
113,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.43 avg rating — 3 861 249 ratings
114,The Name of the Wind (The Kingkiller Chronicle  #1),Patrick Rothfuss (Goodreads Author),4.52 avg rating — 947 460 ratings
115,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.39 avg rating — 2 783 226 ratings
116,The Master and Margarita,Mikhail Bulgakov,4.29 avg rating — 346 527 ratings
117,The Metamorphosis,Franz Kafka,3.86 avg rating — 1 030 056 ratings
118,The Hobbit (The Lord of the Rings  #0),J.R.R. Tolkien,4.29 avg rating — 3 910 168 ratings
119,Middlesex,Jeffrey Eugenides,4.03 avg rating — 636 902 ratings
120,Eragon (The Inheritance Cycle  #1),Christopher Paolini (Goodreads Author),3.95 avg rating — 1 756 343 ratings
121,Looking for Alaska,John Green (Goodreads Author),3.97 avg rating — 1 579 102 ratings
122,The Adventures of Tom Sawyer,Mark Twain,3.92 avg rating — 927 966 ratings
123,Charlie and the Chocolate Factory (Charlie Bucket  #1),Roald Dahl,4.16 avg rating — 843 386 ratings
124,The Alchemist,Paulo Coelho (Goodreads Author),3.91 avg rating — 3 002 811 ratings
125,The Very Hungry Caterpillar,Eric Carle,4.33 avg rating — 504 243 ratings
126,The Count of Monte Cristo,Alexandre Dumas,4.30 avg rating — 903 696 ratings
127,The Last Olympian (Percy Jackson and the Olympians  #5),Rick Riordan (Goodreads Author),4.54 avg rating — 977 544 ratings
128,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89 avg rating — 1 466 335 ratings
129,The Shadow of the Wind (The Cemetery of Forgotten Books  #1),Carlos Ruiz Zafón,4.30 avg rating — 627 007 ratings
130,Tuesdays with Morrie,Mitch Albom (Goodreads Author),4.17 avg rating — 1 012 032 ratings
131,The Lion  the Witch and the Wardrobe (Chronicles of Narnia  #1),C.S. Lewis,4.23 avg rating — 2 762 560 ratings
132,The Unbearable Lightness of Being,Milan Kundera,4.11 avg rating — 461 564 ratings
133,On the Road,Jack Kerouac,3.61 avg rating — 407 838 ratings
134,The Name of the Rose,Umberto Eco,4.14 avg rating — 361 699 ratings
135,The Godfather (The Godfather  #1),Mario Puzo,4.39 avg rating — 416 011 ratings
136,Where the Red Fern Grows,Wilson Rawls,4.11 avg rating — 402 709 ratings
137,Holes (Holes  #1),Louis Sachar (Goodreads Author),really liked it 4.00 avg rating — 1 184 034 ratings
138,In Cold Blood,Truman Capote,4.09 avg rating — 652 166 ratings
139,The Scarlet Letter,Nathaniel Hawthorne,3.43 avg rating — 859 520 ratings
140,Perfume: The Story of a Murderer,Patrick Süskind,4.04 avg rating — 460 336 ratings
141,Fight Club,Chuck Palahniuk (Goodreads Author),4.19 avg rating — 585 908 ratings
142,The Five People You Meet in Heaven,Mitch Albom (Goodreads Author),3.99 avg rating — 713 273 ratings
143,American Gods,Neil Gaiman (Goodreads Author),4.11 avg rating — 916 147 ratings
144,The Divine Comedy,Dante Alighieri,4.08 avg rating — 150 844 ratings
145,The Cat in the Hat (The Cat in the Hat  #1),Dr. Seuss,4.19 avg rating — 535 670 ratings
146,Watchmen,Alan Moore (Goodreads Author),4.38 avg rating — 553 942 ratings
147,Hush  Hush (Hush  Hush  #1),Becca Fitzpatrick (Goodreads Author),3.93 avg rating — 699 389 ratings
148,All Quiet on the Western Front,Erich Maria Remarque,4.07 avg rating — 453 711 ratings
149,The Little House Collection (Little House  #1-9),Laura Ingalls Wilder,4.35 avg rating — 152 450 ratings
150,Lonesome Dove (Lonesome Dove  #1),Larry McMurtry,4.53 avg rating — 187 361 ratings
151,Good Omens: The Nice and Accurate Prophecies of Agnes Nutter  Witch,Terry Pratchett,4.26 avg rating — 736 428 ratings
152,Peter Pan,J.M. Barrie,4.04 avg rating — 344 669 ratings
153,Six of Crows (Six of Crows  #1),Leigh Bardugo (Goodreads Author),4.49 avg rating — 921 749 ratings
154,The Addiction Manifesto,Jerry Weaver,4.84 avg rating — 1 142 ratings
155,Love in the Time of Cholera,Gabriel García Márquez,3.94 avg rating — 499 732 ratings
156,Insurgent (Divergent  #2),Veronica Roth (Goodreads Author),3.98 avg rating — 1 483 263 ratings
157,A Walk to Remember,Nicholas Sparks (Goodreads Author),4.20 avg rating — 800 249 ratings
158,The Thorn Birds,Colleen McCullough,4.24 avg rating — 348 472 ratings
159,The Battle of the Labyrinth (Percy Jackson and the Olympians  #4),Rick Riordan (Goodreads Author),4.42 avg rating — 1 056 427 ratings
160,The Titan's Curse (Percy Jackson and the Olympians  #3),Rick Riordan (Goodreads Author),4.37 avg rating — 1 026 957 ratings
161,The Compleat Works of Wllm Shkspr,Adam Long,4.45 avg rating — 9 310 ratings
162,Shadow Kiss (Vampire Academy  #3),Richelle Mead (Goodreads Author),4.33 avg rating — 363 905 ratings
163,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38 avg rating — 321 519 ratings
164,How the Grinch Stole Christmas!,Dr. Seuss,4.38 avg rating — 410 480 ratings
165,Clockwork Princess (The Infernal Devices  #3),Cassandra Clare (Goodreads Author),4.56 avg rating — 440 862 ratings
166,Their Eyes Were Watching God,Zora Neale Hurston,3.98 avg rating — 341 941 ratings
167,The Importance of Being Earnest,Oscar Wilde,4.17 avg rating — 365 269 ratings
168,The Sea of Monsters (Percy Jackson and the Olympians  #2),Rick Riordan (Goodreads Author),4.24 avg rating — 1 139 735 ratings
169,Atonement,Ian McEwan (Goodreads Author),3.94 avg rating — 515 766 ratings
170,Eat  Pray  Love,Elizabeth Gilbert (Goodreads Author),3.62 avg rating — 1 731 516 ratings
171,The Wonderful Wizard of Oz (Oz  #1),L. Frank Baum,really liked it 4.00 avg rating — 449 468 ratings
172,The Three Musketeers,Alexandre Dumas,4.09 avg rating — 319 641 ratings
173,Catching Fire (The Hunger Games  #2),Suzanne Collins,4.33 avg rating — 3 513 453 ratings
174,A Story of Yesterday,Sergio Cobo,4.59 avg rating — 12 611 ratings
