Rank,Book_Title,Author
104,The Handmaid's Tale,Margaret Atwood
105,Dracula,Bram Stoker
106,One Flew Over the Cuckoo's Nest,Ken Kesey
107,Journey to the End of The Night,Louis-Ferdinand CŽline
108,Under the Volcano,Malcolm Lowry
109,Fathers and Sons,Ivan Turgenev
110,Tess of the d'Urbervilles,Thomas Hardy
111,Poems of Emily Dickinson,Emily Dickinson
112,Orlando: A Biography,Virginia Woolf
113,The Good Soldier,Ford Madox Ford
114,The Waste Land,T. S. Eliot
115,The Hitchhiker's Guide to the Galaxy,Douglas Adams
116,Rabbit  Run,John Updike
117,The Unbearable Lightness of Being,Milan Kundera
118,Silent Spring,Rachel Carson
119,Hamlet,William Shakespeare
120,Atonement,Ian McEwan
121,The Interpretation of Dreams,Sigmund Freud
122,On the Origin of Species,Charles Darwin
123,Tom Jones,Henry Fielding
124,The Diary of a Young Girl,Anne Frank
125,The Autobiography of Malcolm X,Alex Haley
126,All the King's Men,Robert Penn Warren
127,Little Women,Louisa May Alcott
128,The Wind in the Willows,Kenneth Grahame
129,Decameron,Giovanni Boccaccio
130,All Quiet on the Western Front,Erich Maria Remarque
131,In Cold Blood,Truman Capote
132,Dune,Frank Herbert
133,The Complete Sherlock Holmes,Arthur Conan Doyle
134,Sons and Lovers,D. H. Lawrence
135,The Brief Wondrous Life of Oscar Wao,Junot Diaz
136,The Count of Monte Cristo,Alexandre Dumas
137,The Big Sleep,Raymond Chandler
138,White Teeth,Zadie Smith
139,The Moviegoer,Walker Percy
140,The Corrections,Jonathan Franzen
141,The Remains of the Day,Kazuo Ishiguro
142,Gargantua and Pantagruel,Francois Rabelais
143,Doctor Zhivago,Boris Pasternak
144,American Pastoral,Philip Roth
145,Metamorphoses,Ovid
146,My Antonia,Willa Cather
147,Lord Jim,Joseph Conrad
148,The Republic,Plato
149,Howards End,E. M. Forster
150,The Tale of Genji,Murasaki Shikibu
151,A Confederacy of Dunces,John Kennedy Toole
152,Fairy Tales and Stories,Hans Christian Andersen
153,The Hound of the Baskervilles,Arthur Conan Doyle
154,Of Mice and Men,John Steinbeck
155,A Tree Grows in Brooklyn,Betty Smith
156,The Complete Stories of Flannery O'Connor,Flannery O'Connor
157,The Golden Notebook,Doris Lessing
158,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson
159,Blood Meridian,Cormac McCarthy
160,The Stories of John Cheever,John Cheever
161,Doctor Faustus,Thomas Mann
162,The Picture of Dorian Gray,Oscar Wilde
163,A Sentimental Education,Gustave Flaubert
164,The Bell Jar,Sylvia Plath
165,The Tempest,William Shakespeare
166,The Name of the Rose,Umberto Eco
