        best_match_score  __id_left  __id_right  Rank_left                                                                            Book_Title_left                  Author_left  Rank_right                                                                            Book_Title_right                 Author_right
11501          -0.002222   385_left   563_right      386.0                                                                   Neuromancer (Sprawl  #1)               William Gibson       564.0                                                                                 Neuromancer               William Gibson
31052          -0.000172   851_left  1009_right      852.0                                                      The Dispossessed: An Ambiguous Utopia            Ursula K. Le Guin      1010.0                                                                            The Dispossessed            Ursula K. Le Guin
18857           0.003416   558_left   980_right      559.0                                                                          1Q84 (1Q84  #1-3)              Haruki Murakami       981.0                                                                                        1Q84              Haruki Murakami
110082          0.007355  2241_left   492_right     2242.0                                                          Life After Life (Todd Family  #1)                Kate Atkinson       493.0                                                                             Life After Life                Kate Atkinson
75101           0.009341  1665_left  1351_right     1666.0                                                    The Physician (Cole Family Trilogy  #1)                  Noah Gordon      1352.0                                                                               The Physician                  Noah Gordon
86969           0.017888  1865_left   191_right     1866.0                                                      The Long Goodbye (Philip Marlowe  #6)             Raymond Chandler       192.0                                                                   The Long Goodbye: A Novel             Raymond Chandler
100220          0.019562  2083_left   916_right     2084.0                                                  Master & Commander (Aubrey & Maturin  #1)              Patrick O'Brian       917.0                                                                        Master and Commander              Patrick O'Brian
6129            0.022919   245_left  1270_right      246.0                                            HowlÕs Moving Castle (HowlÕs Moving Castle  #1)            Diana Wynne Jones      1271.0                                                                        Howl's Moving Castle            Diana Wynne Jones
50106           0.029009  1239_left   368_right     1240.0                                              Labyrinths: Selected Stories & Other Writings            Jorge Luis Borges       369.0                                                                                  Labyrinths            Jorge Luis Borges
96145           0.030798  2018_left   131_right     2019.0                                                                    Dune Messiah (Dune  #2)                Frank Herbert       132.0                                                                                        Dune                Frank Herbert
96275           0.039134  2020_left  1323_right     2021.0                                                 A Memory of Light (The Wheel of Time  #14)                Robert Jordan      1324.0                                                                    The Wheel of Time Series                Robert Jordan
68398           0.052518  1542_left  1719_right     1543.0                                   Fast Food Nation: The Dark Side of the All-American Meal               Eric Schlosser      1720.0                                                                            Fast Food Nation               Eric Schlosser
115921          0.059126  2334_left  1323_right     2335.0                                                Towers of Midnight (The Wheel of Time  #13)                Robert Jordan      1324.0                                                                    The Wheel of Time Series                Robert Jordan
39800           0.059358  1040_left  1323_right     1041.0                                                   The Dragon Reborn (The Wheel of Time #3)                Robert Jordan      1324.0                                                                    The Wheel of Time Series                Robert Jordan
20158           0.066347   600_left  2371_right      601.0                                               Night Watch (Discworld  #29; City Watch  #6)              Terry Pratchett      2372.0                                                                                 Night Watch              Terry Pratchett
57712           0.075262  1361_left  1323_right     1362.0                                               The Gathering Storm (The Wheel of Time  #12)                Robert Jordan      1324.0                                                                    The Wheel of Time Series                Robert Jordan
48774           0.075829  1212_left    55_right     1213.0                                        The Life and Opinions of Tristram Shandy  Gentleman              Laurence Sterne        56.0                                                                             Tristram Shandy              Laurence Sterne
50156           0.078260  1240_left  1323_right     1241.0                                                  The Shadow Rising (The Wheel of Time  #4)                Robert Jordan      1324.0                                                                    The Wheel of Time Series                Robert Jordan
83928           0.079753  1811_left   942_right     1812.0                                            The Daughter of Time (Inspector Alan Grant  #5)                Josephine Tey       943.0                                                                        The Daughter of Time                Josephine Tey
89979           0.081658  1918_left  1323_right     1919.0                                                      Lord of Chaos (The Wheel of Time  #6)                Robert Jordan      1324.0                                                                    The Wheel of Time Series                Robert Jordan
1087            0.087342    63_left   131_right       64.0                                                                            Dune (Dune  #1)                Frank Herbert       132.0                                                                                        Dune                Frank Herbert
115028          0.090450  2321_left   848_right     2322.0                                A Bright Shining Lie: John Paul Vann and America in Vietnam                 Neil Sheehan       849.0                                                                        A Bright Shining Lie                 Neil Sheehan
51111           0.097041  1255_left   506_right     1256.0                                  The Ballad of Songbirds and Snakes (The Hunger Games  #0)              Suzanne Collins       507.0                                                                            The Hunger Games              Suzanne Collins
25490           0.097400   723_left   111_right      724.0                                                                                    Orlando               Virginia Woolf       112.0                                                                        Orlando: A Biography               Virginia Woolf
52139           0.097927  1272_left   427_right     1273.0                                                                                    Freedom             Jonathan Franzen       428.0                                                                            Freedom: A Novel             Jonathan Franzen
117473          0.099495  2355_left  1323_right     2356.0                                                The Fires of Heaven (The Wheel of Time  #5)                Robert Jordan      1324.0                                                                    The Wheel of Time Series                Robert Jordan
1363            0.119134    92_left   473_right       93.0                                                         Angela's Ashes (Frank McCourt  #1)                Frank McCourt       474.0                                                                    Angela's Ashes: A Memoir                Frank McCourt
77044           0.131638  1696_left   171_right     1697.0                                                                                       2666               Roberto Bola–o       172.0                                                                                        2666               Roberto Bola–o
35583           0.139089   960_left   504_right      961.0                                                                            GiovanniÕs Room                James Baldwin       505.0                                                                             Giovanni's Room                James Baldwin
8967            0.139813   318_left  1599_right      319.0                                                The Amber Spyglass (His Dark Materials  #3)               Philip Pullman      1600.0                                                                          The Amber Spyglass               Philip Pullman
11523           0.143695   389_left   950_right      390.0                                                                     I  Robot (Robot  #0.1)                 Isaac Asimov       951.0                                                                                    I  Robot                 Isaac Asimov
62701           0.145778  1448_left   375_right     1449.0                                                    A Suitable Boy (A Bridge of Leaves  #1)                  Vikram Seth       376.0                                                                              A Suitable Boy                  Vikram Seth
42853           0.150792  1109_left   151_right     1110.0                                                                   The Complete Fairy Tales      Hans Christian Andersen       152.0                                                                     Fairy Tales and Stories      Hans Christian Andersen
5593            0.153994   226_left   435_right      227.0                                                                           SchindlerÕs List              Thomas Keneally       436.0                                                                            Schindler's List              Thomas Keneally
8639            0.160872   298_left   520_right      299.0                                                                          Uncle TomÕs Cabin        Harriet Beecher Stowe       521.0                                                                           Uncle Tom's Cabin        Harriet Beecher Stowe
99705           0.163806  2075_left    20_right     2076.0                                                    Heart of Darkness and The Secret Sharer                Joseph Conrad        21.0                                                                           Heart of Darkness                Joseph Conrad
51446           0.164861  1258_left  1323_right     1259.0                                                      The Great Hunt (The Wheel of Time #2)                Robert Jordan      1324.0                                                                    The Wheel of Time Series                Robert Jordan
17872           0.170569   536_left   913_right      537.0                                                          The Bean Trees (Greer Family  #1)           Barbara Kingsolver       914.0                                                                              The Bean Trees           Barbara Kingsolver
94094           0.173630  1990_left  2295_right     1991.0                                                                        Psycho (Psycho  #1)                 Robert Bloch      2296.0                                                                                      Psycho                 Robert Bloch
33918           0.177679   915_left    65_right      916.0                                                                         Collected Fictions            Jorge Luis Borges        66.0                                                                                    Fictions            Jorge Luis Borges
9429            0.178316   333_left   145_right      334.0                                                                                 My çntonia                 Willa Cather       146.0                                                                                  My Antonia                 Willa Cather
56696           0.182242  1348_left   132_right     1349.0                                                     The Sign of Four (Sherlock Holmes  #2)           Arthur Conan Doyle       133.0                                                                The Complete Sherlock Holmes           Arthur Conan Doyle
51725           0.183163  1267_left   717_right     1268.0                                                                             AesopÕs Fables                        Aesop       718.0                                                                              Aesop's Fables                        Aesop
5838            0.184530   234_left    15_right      235.0                                                                    The Iliad / The Odyssey                        Homer        16.0                                                                                 The Odyssey                        Homer
56786           0.190479  1350_left   215_right     1351.0                                                            Wolf Hall (Thomas Cromwell  #1)                Hilary Mantel       216.0                                                                                   Wolf Hall                Hilary Mantel
3710            0.194054   180_left   506_right      181.0                                   The Hunger Games Trilogy Boxset (The Hunger Games  #1-3)              Suzanne Collins       507.0                                                                            The Hunger Games              Suzanne Collins
67943           0.203231  1538_left   235_right     1539.0                                                                        PortnoyÕs Complaint                  Philip Roth       236.0                                                                         Portnoy's Complaint                  Philip Roth
109357          0.205608  2231_left   960_right     2232.0                                                                                         V.               Thomas Pynchon       961.0                                                                                           V               Thomas Pynchon
1488            0.219377   106_left     5_right      107.0                                                                    Moby-Dick or  The Whale              Herman Melville         6.0                                                                                   Moby Dick              Herman Melville
59163           0.221301  1386_left   313_right     1387.0                                                                                 Americanah     Chimamanda Ngozi Adichie       314.0                                                                                  Americanah     Chimamanda Ngozi Adichie
46103           0.221869  1172_left   194_right     1173.0                                                                        Gilead (Gilead  #1)           Marilynne Robinson       195.0                                                                                      Gilead           Marilynne Robinson
70688           0.222618  1579_left   955_right     1580.0                                                                                    Suttree              Cormac McCarthy       956.0                                                                                     Suttree              Cormac McCarthy
82933           0.224571  1795_left   167_right     1796.0                                         The Call of the Wild  White Fang and Other Stories                  Jack London       168.0                                                                        The Call of the Wild                  Jack London
28728           0.229354   793_left   543_right      794.0                                                                                         We             Yevgeny Zamyatin       544.0                                                                                          We             Yevgeny Zamyatin
43444           0.230719  1133_left   144_right     1134.0                                                                              Metamorphoses                         Ovid       145.0                                                                               Metamorphoses                         Ovid
86964           0.230719  1862_left    94_right     1863.0                                                                                      Faust   Johann Wolfgang von Goethe        95.0                                                                                       Faust   Johann Wolfgang von Goethe
12819           0.233359   423_left    86_right      424.0                                                                                       Emma                  Jane Austen        87.0                                                                                        Emma                  Jane Austen
41037           0.238661  1066_left   128_right     1067.0                                                                              The Decameron           Giovanni Boccaccio       129.0                                                                                   Decameron           Giovanni Boccaccio
23338           0.243393   668_left   490_right      669.0                                                                                    Ivanhoe                 Walter Scott       491.0                                                                                     Ivanhoe                 Walter Scott
64617           0.243393  1484_left   211_right     1485.0                                                                                      Medea                    Euripides       212.0                                                                                       Medea                    Euripides
1294            0.243943    88_left   216_right       89.0                                                The Golden Compass (His Dark Materials  #1)               Philip Pullman       217.0                                                                          His Dark Materials               Philip Pullman
5048            0.246623   214_left    32_right      215.0                                                                                    Beloved                Toni Morrison        33.0                                                                                     Beloved                Toni Morrison
36542           0.246623   977_left   753_right      978.0                                                                                       Ubik               Philip K. Dick       754.0                                                                                        Ubik               Philip K. Dick
27450           0.246623   769_left    39_right      770.0                                                                          Absalom  Absalom!             William Faulkner        40.0                                                                           Absalom  Absalom!             William Faulkner
6813            0.246623   256_left  1224_right      257.0                                                                                  Blindness                JosŽ Saramago      1225.0                                                                                   Blindness                JosŽ Saramago
10422           0.248566   357_left   250_right      358.0                                                  Pippi Longstocking (Pippi LŒngstrump  #1)              Astrid Lindgren       251.0                                                                          Pippi Longstocking              Astrid Lindgren
12402           0.256105   413_left   279_right      414.0                                                                 I  Claudius (Claudius  #1)                Robert Graves       280.0                                                                                 I  Claudius                Robert Graves
770             0.256658    32_left   104_right       33.0                                                                                    Dracula                  Bram Stoker       105.0                                                                                     Dracula                  Bram Stoker
23340           0.263781   670_left   136_right      671.0                                                         The Big Sleep (Philip Marlowe  #1)             Raymond Chandler       137.0                                                                               The Big Sleep             Raymond Chandler
111394          0.266692  2265_left   380_right     2266.0                                                                                    Oblomov               Ivan Goncharov       381.0                                                                                     Oblomov               Ivan Goncharov
34840           0.266692   941_left   786_right      942.0                                                                                   Birdsong             Sebastian Faulks       787.0                                                                                    Birdsong             Sebastian Faulks
51110           0.266692  1254_left  1725_right     1255.0                                                                                    Contact                   Carl Sagan      1726.0                                                                                     Contact                   Carl Sagan
1097            0.266692    68_left   702_right       69.0                                                                                    Matilda                   Roald Dahl       703.0                                                                                     Matilda                   Roald Dahl
25985           0.266692   737_left   282_right      738.0                                                                                Meditations              Marcus Aurelius       283.0                                                                                 Meditations              Marcus Aurelius
34350           0.266692   927_left  1311_right      928.0                                                                                       Momo                 Michael Ende      1312.0                                                                                        Momo                 Michael Ende
1203            0.266692    74_left    91_right       75.0                                                                                    Rebecca            Daphne du Maurier        92.0                                                                                     Rebecca            Daphne du Maurier
63568           0.266692  1467_left  2324_right     1468.0                                                                                    Grendel                 John Gardner      2325.0                                                                                     Grendel                 John Gardner
53517           0.266692  1296_left  1761_right     1297.0                                                                                 Centennial            James A. Michener      1762.0                                                                                  Centennial            James A. Michener
11836           0.266692   396_left   387_right      397.0                                                                                  Dubliners                  James Joyce       388.0                                                                                   Dubliners                  James Joyce
108809          0.266692  2223_left   721_right     2224.0                                                                                     Utopia                  Thomas More       722.0                                                                                      Utopia                  Thomas More
1086            0.266692    62_left    13_right       63.0                                                                                     Lolita             Vladimir Nabokov        14.0                                                                                      Lolita             Vladimir Nabokov
43446           0.266692  1134_left   397_right     1135.0                                                                                  Hiroshima                  John Hersey       398.0                                                                                   Hiroshima                  John Hersey
42701           0.266692  1104_left   696_right     1105.0                                                                                  Hopscotch               Julio Cort‡zar       697.0                                                                                   Hopscotch               Julio Cort‡zar
1750            0.266692   118_left   195_right      119.0                                                                                  Middlesex            Jeffrey Eugenides       196.0                                                                                   Middlesex            Jeffrey Eugenides
4446            0.266692   206_left     0_right      207.0                                                                                    Ulysses                  James Joyce         1.0                                                                                     Ulysses                  James Joyce
87727           0.266692  1876_left   552_right     1877.0                                                                               Housekeeping           Marilynne Robinson       553.0                                                                                Housekeeping           Marilynne Robinson
1101            0.268889    72_left   132_right       73.0                                    The Adventures of Sherlock Holmes (Sherlock Holmes  #3)           Arthur Conan Doyle       133.0                                                                The Complete Sherlock Holmes           Arthur Conan Doyle
23875           0.269366   689_left  1131_right      690.0                                          The Color of Magic (Discworld  #1; Rincewind  #1)              Terry Pratchett      1132.0                                                                         The Colour of Magic              Terry Pratchett
55338           0.271326  1331_left   494_right     1332.0                                            My Brilliant Friend (The Neapolitan Novels  #1)               Elena Ferrante       495.0                                                                         My Brilliant Friend               Elena Ferrante
23154           0.277148   665_left    42_right      666.0                                                                                 The Aeneid                       Virgil        43.0                                                                                  The Aeneid                       Virgil
1285            0.277900    85_left   188_right       86.0                                                                                   The Road              Cormac McCarthy       189.0                                                                                    The Road              Cormac McCarthy
64106           0.279809  1475_left   198_right     1476.0                               The Oedipus Cycle: Oedipus Rex  Oedipus at Colonus  Antigone                    Sophocles       199.0                                                                          Oedipus at Colonus                    Sophocles
93996           0.279840  1988_left   114_right     1989.0            So Long  and Thanks for All the Fish (The Hitchhiker's Guide to the Galaxy  #4)                Douglas Adams       115.0                                                        The Hitchhiker's Guide to the Galaxy                Douglas Adams
27875           0.281456   777_left   870_right      778.0                                                                                   The Fall                 Albert Camus       871.0                                                                                    The Fall                 Albert Camus
109359          0.289785  2232_left   100_right     2233.0                                                                                 The Castle                  Franz Kafka       101.0                                                                                  The Castle                  Franz Kafka
9652            0.299201   340_left   216_right      341.0                                                  The Subtle Knife (His Dark Materials  #2)               Philip Pullman       217.0                                                                          His Dark Materials               Philip Pullman
68490           0.302820  1543_left  1760_right     1544.0                                                 War and Remembrance (The Henry Family  #2)                  Herman Wouk      1761.0                                                                         War and Remembrance                  Herman Wouk
22033           0.308594   647_left    23_right      648.0                                                                                  The Iliad                        Homer        24.0                                                                                   The Iliad                        Homer
80150           0.310867  1757_left   989_right     1758.0                                     The Cat in the Hat Comes Back (The Cat in the Hat  #2)                    Dr. Seuss       990.0                                                                          The Cat in the Hat                    Dr. Seuss
33146           0.313066   900_left   583_right      901.0                                   The Last of the Mohicans (The Leatherstocking Tales  #2)        James Fenimore Cooper       584.0                                                                    The Last of the Mohicans        James Fenimore Cooper
66861           0.313715  1510_left   781_right     1511.0                                     The Alexandria Quartet  (The Alexandria Quartet  #1-4)             Lawrence Durrell       782.0                                                                      The Alexandria Quartet             Lawrence Durrell
771             0.314260    33_left   724_right       34.0                                                            EnderÕs Game (Ender's Saga  #1)             Orson Scott Card       725.0                                                                                Ender's Game             Orson Scott Card
9231            0.316169   327_left   197_right      328.0                                                                                 The Plague                 Albert Camus       198.0                                                                                  The Plague                 Albert Camus
851             0.316169    50_left    15_right       51.0                                                                                The Odyssey                        Homer        16.0                                                                                 The Odyssey                        Homer
16972           0.316787   513_left  1437_right      514.0                                                    Speaker for the Dead (Ender's Saga  #2)             Orson Scott Card      1438.0                                                                        Speaker for the Dead             Orson Scott Card
3900            0.318136   189_left   291_right      190.0                                                        The Good Earth (House of Earth  #1)                Pearl S. Buck       292.0                                                                              The Good Earth                Pearl S. Buck
79749           0.333007  1748_left  1318_right     1749.0                                                                                  The Twits                   Roald Dahl      1319.0                                                                                   The Twits                   Roald Dahl
5839            0.336237   235_left    34_right      236.0                                                                                  The Trial                  Franz Kafka        35.0                                                                                   The Trial                  Franz Kafka
1748            0.336237   116_left    83_right      117.0                                                                          The Metamorphosis                  Franz Kafka        84.0                                                                           The Metamorphosis                  Franz Kafka
20178           0.340402   602_left   704_right      603.0                                                                                  The Magus                  John Fowles       705.0                                                                                   The Magus                  John Fowles
3898            0.340402   187_left   906_right      188.0                                                                                The Prophet                Kahlil Gibran       907.0                                                                                 The Prophet                Kahlil Gibran
8349            0.346272   285_left    66_right      286.0                                                                                  The Idiot            Fyodor Dostoevsky        67.0                                                                                   The Idiot            Fyodor Dostoevsky
11547           0.346272   390_left   914_right      391.0                                                                                 The Reader             Bernhard Schlink       915.0                                                                                  The Reader             Bernhard Schlink
42923           0.346842  1113_left   649_right     1114.0                        Tinker  Tailor  Soldier  Spy (George Smiley  #5; Karla Trilogy  #1)                John le CarrŽ       650.0                                                                 Tinker  Tailor  Soldier Spy                John le CarrŽ
73805           0.347777  1638_left   242_right     1639.0                                                          Atlas Shrugged & The Fountainhead                     Ayn Rand       243.0                                                                              Atlas Shrugged                     Ayn Rand
31482           0.348396   862_left    78_right      863.0                                                                         Animal Farm / 1984                George Orwell        79.0                                                                                 Animal Farm                George Orwell
61272           0.349869  1419_left   228_right     1420.0                                                                                     Hunger                  Knut Hamsun       229.0                                                                                      Hunger                  Knut Hamsun
4262            0.351084   202_left   255_right      203.0                                                                               Oliver Twist              Charles Dickens       256.0                                                              The Adventures of Oliver Twist              Charles Dickens
32661           0.352826   885_left   269_right      886.0                                             All the Pretty Horses (The Border Trilogy  #1)              Cormac McCarthy       270.0                                                                       All the Pretty Horses              Cormac McCarthy
29369           0.355070   805_left   192_right      806.0                                                                        A Room of OneÕs Own               Virginia Woolf       193.0                                                                         A Room of One's Own               Virginia Woolf
62208           0.356306  1442_left   474_right     1443.0                                                                              The Moonstone               Wilkie Collins       475.0                                                                               The Moonstone               Wilkie Collins
32778           0.356306   890_left   164_right      891.0                                                                                The Tempest          William Shakespeare       165.0                                                                                 The Tempest          William Shakespeare
23793           0.356306   681_left   139_right      682.0                                                                            The Corrections             Jonathan Franzen       140.0                                                                             The Corrections             Jonathan Franzen
3646            0.356306   174_left  1161_right      175.0                                                                                  The Lorax                    Dr. Seuss      1162.0                                                                                   The Lorax                    Dr. Seuss
11835           0.356306   395_left  2356_right      396.0                                                                               The Exorcist         William Peter Blatty      2357.0                                                                                The Exorcist         William Peter Blatty
8847            0.356306   309_left   746_right      310.0                                                                                    The BFG                   Roald Dahl       747.0                                                                                     The BFG                   Roald Dahl
12267           0.356306   406_left   147_right      407.0                                                                               The Republic                        Plato       148.0                                                                                The Republic                        Plato
25725           0.356306   730_left   595_right      731.0                                                                               The Namesake                Jhumpa Lahiri       596.0                                                                                The Namesake                Jhumpa Lahiri
29712           0.356306   817_left   354_right      818.0                                                                           The Fountainhead                     Ayn Rand       355.0                                                                            The Fountainhead                     Ayn Rand
2066            0.359722   134_left   498_right      135.0                                                          The Godfather (The Godfather  #1)                   Mario Puzo       499.0                                                                               The Godfather                   Mario Puzo
81833           0.361434  1780_left    58_right     1781.0                                                   The Selected Writings of Edgar Allan Poe              Edgar Allan Poe        59.0                                             The Complete Tales and Poems of Edgar Allan Poe              Edgar Allan Poe
85717           0.366383  1840_left   511_right     1841.0                                                                                  Black Boy               Richard Wright       512.0                                                                                   Black Boy               Richard Wright
2587            0.371643   149_left   416_right      150.0                                                          Lonesome Dove (Lonesome Dove  #1)               Larry McMurtry       417.0                                                                               Lonesome Dove               Larry McMurtry
1353            0.371643    90_left   312_right       91.0                                                                                 Siddhartha                Hermann Hesse       313.0                                                                                  Siddhartha                Hermann Hesse
540             0.372235    21_left   268_right       22.0                               AliceÕs Adventures in Wonderland / Through the Looking-Glass                Lewis Carroll       269.0                                                                   Through the Looking Glass                Lewis Carroll
5294            0.373509   223_left   216_right      224.0                                               His Dark Materials (His Dark Materials #1-3)               Philip Pullman       217.0                                                                          His Dark Materials               Philip Pullman
776             0.375031    37_left   203_right       38.0                                                                             Fahrenheit 451                 Ray Bradbury       204.0                                                                              Fahrenheit 451                 Ray Bradbury
1485            0.375031   103_left   203_right      104.0                                                                             Fahrenheit 451                 Ray Bradbury       204.0                                                                              Fahrenheit 451                 Ray Bradbury
21580           0.376190   636_left  1286_right      637.0                                                    Death on the Nile (Hercule Poirot  #18)              Agatha Christie      1287.0                                                                           Death On The Nile              Agatha Christie
26290           0.379193   743_left   101_right      744.0                                                                                  Pale Fire             Vladimir Nabokov       102.0                                                                                   Pale Fire             Vladimir Nabokov
110401          0.380053  2246_left   283_right     2247.0                                                                 The Civil War: A Narrative                 Shelby Foote       284.0                                                                               The Civil War                 Shelby Foote
104572          0.381440  2147_left   956_right     2148.0                                                                  Time and Again (Time  #1)                  Jack Finney       957.0                                                                              Time and Again                  Jack Finney
1099            0.388296    70_left    22_right       71.0                                                                                   Catch-22                Joseph Heller        23.0                                                                                    Catch-22                Joseph Heller
12818           0.389718   422_left   178_right      423.0                                                                                Bleak House              Charles Dickens       179.0                                                                                 Bleak House              Charles Dickens
3826            0.389780   182_left   109_right      183.0                                                                  Tess of the DÕUrbervilles                 Thomas Hardy       110.0                                                                   Tess of the d'Urbervilles                 Thomas Hardy
44601           0.390835  1152_left    88_right     1153.0                                                                                 Dead Souls                Nikolai Gogol        89.0                                                                                  Dead Souls                Nikolai Gogol
45345           0.391380  1163_left   330_right     1164.0                                                 The Book of Disquiet: The Complete Edition              Fernando Pessoa       331.0                                                                        The Book of Disquiet              Fernando Pessoa
8169            0.391712   282_left   569_right      283.0                                                                                    Othello          William Shakespeare       570.0                                                                                     Othello          William Shakespeare
3485            0.396389   172_left   506_right      173.0                                                       Catching Fire (The Hunger Games  #2)              Suzanne Collins       507.0                                                                            The Hunger Games              Suzanne Collins
8640            0.401008   299_left    27_right      300.0                                                                              Invisible Man                Ralph Ellison        28.0                                                                               Invisible Man                Ralph Ellison
33942           0.401746   919_left   777_right      920.0                                                                                Fingersmith                 Sarah Waters       778.0                                                                                 Fingersmith                 Sarah Waters
15383           0.401746   476_left   207_right      477.0                                                                                    Macbeth          William Shakespeare       208.0                                                                                     Macbeth          William Shakespeare
34837           0.401746   938_left   412_right      939.0                                                                                   Germinal                   ƒmile Zola       413.0                                                                                    Germinal                   ƒmile Zola
19030           0.401746   566_left   743_right      567.0                                                                                  Mythology               Edith Hamilton       744.0                                                                                   Mythology               Edith Hamilton
11522           0.401746   388_left   393_right      389.0                                                                                 Persuasion                  Jane Austen       394.0                                                                                  Persuasion                  Jane Austen
54956           0.401746  1323_left  1182_right     1324.0                                                                                   Pachinko                  Min Jin Lee      1183.0                                                                                    Pachinko                  Min Jin Lee
69232           0.401868  1550_left  2334_right     1551.0                                                                                Ghost Story                 Peter Straub      2335.0                                                                                 Ghost Story                 Peter Straub
31473           0.403588   859_left   202_right      860.0                                                                                White Noise                  Don DeLillo       203.0                                                                                 White Noise                  Don DeLillo
847             0.405788    47_left   229_right       48.0                                                       A Wrinkle in Time (Time Quintet  #1)            Madeleine L'Engle       230.0                                                                           A Wrinkle In Time            Madeleine L'Engle
2064            0.408204   132_left    68_right      133.0                                                                                On the Road                 Jack Kerouac        69.0                                                                                 On the Road                 Jack Kerouac
83017           0.409970  1796_left  1920_right     1797.0                                                                                Moon Palace                  Paul Auster      1921.0                                                                                 Moon Palace                  Paul Auster
12269           0.415250   408_left   223_right      409.0                                                                                 The Jungle               Upton Sinclair       224.0                                                                                  The Jungle               Upton Sinclair
24163           0.415250   697_left  1252_right      698.0                                                                           The Jungle Books              Rudyard Kipling      1253.0                                                                             The Jungle Book              Rudyard Kipling
