ID,rtable_Rank,rtable_Book_Title,rtable_Author,ltable_Rank,ltable_Book_Title,ltable_Author
325,771.0,Cold Sassy Tree,Olive Ann Burns,945.0,Cold Sassy Tree,Olive Ann Burns
326,1413.0,The Power and the Glory,Graham Greene,583.0,The Power and the Glory,Graham Greene
327,1266.0,The New York Trilogy (New York Trilogy #1-3),Paul Auster,1018.0,The New York Trilogy,Paul Auster
328,448.0,The Woman in White,Wilkie Collins,306.0,The Woman in White,Wilkie Collins
329,670.0,The Magic Mountain,Thomas Mann,49.0,The Magic Mountain,Thomas Mann
330,2078.0,The Discovery of Heaven,Harry Mulisch,756.0,The Discovery of Heaven,Harry Mulisch
331,163.0,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,115.0,The Hitchhiker's Guide to the Galaxy,Douglas Adams
332,2130.0,Mostly Harmless (Hitchhiker's Guide to the Galaxy  #5),Douglas Adams,115.0,The Hitchhiker's Guide to the Galaxy,Douglas Adams
333,1334.0,The Mayor of Casterbridge,Thomas Hardy,353.0,The Mayor of Casterbridge,Thomas Hardy
334,1883.0,Our Mutual Friend,Charles Dickens,294.0,Our Mutual Friend,Charles Dickens
335,1367.0,The Third Policeman,Flann O'Brien,519.0,The Third Policeman,Flann O'Brien
336,718.0,Jude the Obscure,Thomas Hardy,191.0,Jude the Obscure,Thomas Hardy
337,2324.0,Written on the Body,Jeanette Winterson,1731.0,Written on the Body,Jeanette Winterson
338,1826.0,Winesburg  Ohio,Sherwood Anderson,393.0,Winesburg  Ohio,Sherwood Anderson
339,116.0,The Master and Margarita,Mikhail Bulgakov,83.0,The Master and Margarita,Mikhail Bulgakov
340,191.0,The Call of the Wild,Jack London,168.0,The Call of the Wild,Jack London
341,2170.0,Cold Comfort Farm,Stella Gibbons,365.0,Cold Comfort Farm,Stella Gibbons
342,158.0,The Thorn Birds,Colleen McCullough,375.0,The Thorn Birds,Colleen McCullough
343,749.0,Tender Is the Night,F. Scott Fitzgerald,220.0,Tender Is the Night,F. Scott Fitzgerald
344,1616.0,The Talented Mr. Ripley (Ripley  #1),Patricia Highsmith,330.0,The Talented Mr. Ripley,Patricia Highsmith
345,324.0,The English Patient,Michael Ondaatje,452.0,The English Patient,Michael Ondaatje
346,2180.0,The Fire Next Time,James Baldwin,738.0,The Fire Next Time,James Baldwin
347,926.0,The Razor's Edge,W. Somerset Maugham,760.0,The Razor's Edge,W. Somerset Maugham
348,812.0,The Bonfire of the Vanities,Tom Wolfe,262.0,Bonfire of the Vanities,Tom Wolfe
349,658.0,The Elegance of the Hedgehog,Muriel Barbery,2167.0,The Elegance of the Hedgehog,Muriel Barbery
350,1680.0,Suite Franaise,Irne NŽmirovsky,800.0,Suite Franaise,Irne NŽmirovsky
351,28.0,Romeo and Juliet,William Shakespeare,600.0,Romeo and Juliet,William Shakespeare
352,123.0,Charlie and the Chocolate Factory (Charlie Bucket  #1),Roald Dahl,666.0,Charlie And The Chocolate Factory ,Roald Dahl
353,678.0,The Story of My Life,Helen Keller,2087.0,The Story of My Life,Helen Keller
354,2013.0,Wide Sargasso Sea,Jean Rhys,175.0,Wide Sargasso Sea,Jean Rhys
